127.0.0.1 - - [11/Jul/2024:08:52:46 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [11/Jul/2024:08:52:48 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [11/Jul/2024:08:52:48 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:08:52:48 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:08:52:49 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:02:33 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:02:37 +0900] "GET /BBS HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:02:37 +0900] "GET /BBS/ HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:02:37 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:02:42 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:02:49 +0900] "GET /BBS/loginAction.jsp?userID=LEE&userPassword=111111 HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:02:49 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:03:42 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:03:45 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:03:45 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:03:46 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:03:55 +0900] "GET /BBS/loginAction.jsp?userID=1233&userPassword=111111 HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:03:57 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 4147
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:04:02 +0900] "GET /BBS/joinAction.jsp?userID=111&userPassword=111&userName=111&userGender=%EC%97%AC%EC%9E%90&userEmail=111%40111 HTTP/1.1" 500 2330
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:04:51 +0900] "GET /BBS/joinAction.jsp?userID=111&userPassword=111&userName=111&userGender=%EC%97%AC%EC%9E%90&userEmail=111%40111 HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:04:51 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:04:54 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:04:54 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:04:56 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:05:02 +0900] "GET /BBS/loginAction.jsp?userID=111&userPassword=111 HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:05:02 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:05:05 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:38:34 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2176
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:38:48 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:40:34 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:40:35 +0900] "GET /BBS/write.jsp HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:40:43 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:40:43 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:40:44 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:40:47 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:40:48 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:40:49 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:40:50 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:40:52 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:41:12 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:41:32 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:41:33 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:41:34 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:41:35 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:41:36 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:41:52 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:41:53 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:41:53 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:41:54 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:42:12 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:42:13 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [11/Jul/2024:09:42:13 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [11/Jul/2024:10:21:05 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2249
0:0:0:0:0:0:0:1 - - [11/Jul/2024:10:21:06 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [11/Jul/2024:10:21:19 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2350
0:0:0:0:0:0:0:1 - - [11/Jul/2024:10:21:57 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [11/Jul/2024:10:22:08 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2357
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:09:50 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:09:50 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:09:50 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:09:51 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:09:53 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1463
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:09:57 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:10:01 +0900] "GET /BBS/loginAction.jsp?userID=LEE&userPassword=111 HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:10:06 +0900] "GET /BBS/loginAction.jsp?userID=111&userPassword=111 HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:10:06 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:10:09 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:10:10 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:10:13 +0900] "GET /BBS/writeAction.jsp?bbsTitle=11122&bbsContent=22222 HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:10:14 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:10:24 +0900] "GET /BBS/loginAction.jsp?userID=111&userPassword=111 HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:10:25 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:10:28 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:10:29 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:10:32 +0900] "GET /BBS/writeAction.jsp?bbsTitle=111&bbsContent=2222 HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:10:33 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:12:05 +0900] "GET /BBS/loginAction.jsp?userID=111&userPassword=111 HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:12:06 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:12:07 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:12:10 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:12:17 +0900] "GET /BBS/writeAction.jsp?bbsTitle=111&bbsContent=2222 HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:12:21 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:12:24 +0900] "GET /BBS/writeAction.jsp?bbsTitle=111&bbsContent=2222 HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:12:53 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:12:55 +0900] "GET /BBS/writeAction.jsp?bbsTitle=213&bbsContent=123 HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:17:25 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:17:28 +0900] "GET /BBS/writeAction.jsp?bbsTitle=12312&bbsContent=3242342 HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:17:46 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:17:49 +0900] "GET /BBS/writeAction.jsp?bbsTitle=1231&bbsContent=3422342 HTTP/1.1" 500 3475
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:18:06 +0900] "GET /BBS/writeAction.jsp?bbsTitle=1231&bbsContent=3422342 HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:18:06 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2249
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:18:07 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:18:09 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:18:11 +0900] "GET /BBS/loginAction.jsp?userID=111&userPassword=111 HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:18:11 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [11/Jul/2024:11:18:12 +0900] "GET /BBS/BBS.jsp HTTP/1.1" 200 2207
